,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.13191692997969626,0.07452673232425565,0.02644021409136551,0.11235155724139449,0.04482791985333273,0.02060992052804554,0.11495525360369442,0.04320581664588946,0.022969176633780775,0.19005615012090676,0.08852165508301454,0.013557173133296239,0.13817291981088484,0.12718198124046476,0.04074261271709778,0.07708763959560504,0.10354099881349996,0.01680618834965836,0.1548710268650283,0.18417926388381245,0.06699461588467306,0.19716946369633,0.19910494514062227,0.03549117371276791,0.18434592195168711,0.2150854962090853,0.023835537846575276
asw_cell,0.5412368513643742,0.5329792276024818,0.513972339220345,0.5139075247570872,0.5177773181349039,0.5181192513555288,0.5102449478581548,0.5265989303588867,0.5146832363680005,0.5445214658975601,0.5445443950593472,0.49076057970523834,0.5194506999105215,0.5280107967555523,0.49532496742904186,0.5120806135237217,0.5241174902766943,0.5089924316853285,0.5494700632989407,0.5546232461929321,0.48489705566316843,0.5192285608500242,0.5387010052800179,0.48926336131989956,0.525279438123107,0.5219513140618801,0.48675097431987524
kbet,0.010084822103312088,0.0,0.0,0.002272453736244183,0.0012260466805921351,0.0,0.0045074860175014254,0.00022704568159113614,0.0,0.06098551013805251,0.01324401247359645,0.0004561932526268832,0.040509983499197676,0.006742518298758668,0.0005449096358187268,0.030713591576457522,0.004088819188973272,0.0003632730905458178,0.0984780014055823,0.0887778984851404,0.07686536861188974,0.09355340865356274,0.054632224894166345,0.00022704568159113614,0.06114769751133388,0.06245258094256553,0.0007265461810916356
asw_batch,0.8515286482668494,0.7910284792058624,0.7002451855748963,0.9123828560561991,0.8415571817315068,0.6975731970231033,0.9420387991976146,0.8669490851202808,0.7238629594265382,0.8836339369346554,0.8747891967131507,0.72248780792816,0.9264971722676837,0.9234235576918085,0.6917520638362438,0.9434800636333198,0.9298270009282974,0.7210739323475113,0.8961483769352931,0.8873360590435782,0.8042355653503758,0.9180030170026937,0.9025927949155343,0.8120799780604131,0.9209621931610439,0.9141746262637545,0.7895265832123969
bio_score,0.6976628035146664,0.4960607305559352,0.24045949357668986,0.4531442661024371,0.31336529094773813,0.2557314167439439,0.43334014624790707,0.37259974398008167,0.2369454849361402,0.86546224714101,0.6137154411446086,0.04204678326408049,0.5569577124895524,0.5910724000041714,0.14222576719176241,0.3525524364146416,0.5044996199686361,0.18084663043631824,0.8136524491531549,0.9233203753855237,0.13258047785988009,0.701737608842161,0.8461746976703293,0.08572952128582914,0.7133121538434553,0.7657126261823705,0.03879532015859669
batch_score,0.36856300564355304,0.1971898546241334,0.01686964053561599,0.44977039658246354,0.3037785233952283,0.011562347437615325,0.5200230092906736,0.3491415182535677,0.06378093739309852,0.6907696514967272,0.4308048377436444,0.06336573307772138,0.671947746964473,0.49439597276213965,0.0027666566544872944,0.6559413835480037,0.49364138271623825,0.06008561184426364,0.9059864481976938,0.8392326971941261,0.6136894021670782,0.9243921667952937,0.6961696962103675,0.24015660774679254,0.7657371505506316,0.758880457380033,0.19789555786105154
overall_score,0.5660228843662211,0.3765123801832145,0.1510235523602603,0.4517947182944477,0.3095305839267342,0.15806378902141247,0.4680132914650137,0.3632164536894761,0.16767966591892353,0.7955852088832969,0.540551199784223,0.05057436318953685,0.6029537262795206,0.5524018291073587,0.08644212297685236,0.4739080152679864,0.5001563250676769,0.1325422229994964,0.8505860487709704,0.8896853041089646,0.3250240475827594,0.790799432023414,0.7861726970863445,0.1475003558702145,0.7342821525263258,0.7629797586614355,0.10243541523957864
