,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.2013499295253162,0.2297160702917313,0.05678394430917945,0.13531052689143958,0.13792791378975494,0.16602292898639173,0.14853523146982972,0.14200459228539944,0.1399534693482162,0.1360890897402834,0.11618934571388563,0.09999829568139901,0.28696309843385626,0.12844910440816976,0.1191206004929078,0.15248850537548272,0.14271344657247245,0.08224320155149624,0.10949808711978658,0.2777762611587546,0.11952799510008344,0.18572881397963145,0.1799234004162243,0.11893487768986291,0.26000274404945795,0.17925234166294662,0.1254092241550165
asw_cell,0.6352857500314713,0.5966285392642021,0.5699411854147911,0.5819543525576591,0.5713287070393562,0.5774924457073212,0.5503052584826946,0.5822159126400948,0.5870325043797493,0.5796102434396744,0.6146250218153,0.6996184289455414,0.5370128341019154,0.5926457569003105,0.6390125602483749,0.544681366533041,0.5766613483428955,0.6105613857507706,0.5969812572002411,0.579883523285389,0.7041784375905991,0.5475494340062141,0.5763062536716461,0.6763749122619629,0.5522990636527538,0.5830075517296791,0.6420487016439438
kbet,0.2113716003838738,0.08372641509433962,0.2429245283018868,0.15296731790207696,0.04009433962264151,0.13679245283018868,0.1715386427068384,0.020047169811320754,0.1179245283018868,0.2754597020575987,0.09712677959834123,0.2706855791962175,0.23439137076396163,0.0648458341770926,0.32193396226415094,0.18145189691756397,0.060595488602646616,0.30542452830188677,0.30281401051250667,0.1951554293543551,0.2794811320754717,0.25782439975699734,0.08243326231081449,0.3196921305875206,0.3073554530326909,0.07777956312346472,0.31485849056603776
asw_batch,0.8821052446212392,0.8501939393394137,0.8002744645294135,0.893766976787983,0.8785978666187444,0.8686351471472507,0.9142449802337966,0.8845019932555191,0.8581455946845526,0.8927385472917739,0.8875400395079741,0.7481877295053418,0.908835694589258,0.8767432452110779,0.7849246332660711,0.9086803845401099,0.8874835709294859,0.8102174308316865,0.8709050743858993,0.8741430772462166,0.7946606560665876,0.8972999173823514,0.8662008603514704,0.827217973557286,0.90115954916355,0.8676770639254022,0.8292989867332268
bio_score,0.6079680802006584,0.5539601144004732,0.09849021157963528,0.3049992407685972,0.27890298972981453,0.358367598200736,0.23906232780291214,0.32032256863837894,0.3302737234309043,0.29967911329898556,0.36118328154850426,0.5802319276335303,0.5,0.32207319610871343,0.44049486270516214,0.23082839333516764,0.3052483998281009,0.27529023104038386,0.29387507833360815,0.60827235976624,0.6362939468378588,0.31161221241381043,0.38501453973734284,0.5518439431095095,0.48715796601342437,0.40360074216328556,0.46323638169538195
batch_score,0.7201080310378086,0.4126104417556871,0.5259742916889859,0.6584895273629493,0.425869318560725,0.5560277231556325,0.750907751983201,0.41044357639367784,0.49319357848058,0.858270927386462,0.5472542669721995,0.41511986554373526,0.8387201710441965,0.4612796982866783,0.6106151751867893,0.7505715274147793,0.48657928882052426,0.6594282851090804,0.8378357011006422,0.6692758342208672,0.5696179347066442,0.8427967877396663,0.45866565259621067,0.7342478011941945,0.9364539836288535,0.45540282666235266,0.7325080358586982
overall_score,0.6528240605355184,0.4974202453425588,0.2694838436233755,0.446395355406338,0.33768952126217877,0.43743164818269464,0.4438004974750277,0.3563709717404985,0.3954416654507745,0.5231158389339762,0.4356116757179823,0.5141871027976123,0.6354880684176787,0.37775579697989936,0.508542987697813,0.43872564696701233,0.3777807554250703,0.42894545266786244,0.5114593274404218,0.6326737495480909,0.6096235419853729,0.5240860425441528,0.41447498488088996,0.6248054863433835,0.666876373059596,0.4243215759629124,0.5709450433607084
