,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.20121182823275993,0.19793582250560085,0.06181542397323817,0.02604797249757451
asw_cell,0.5494229346513748,0.5594491747518381,0.5775272846221924,0.5600451516608397
kbet,0.06705369340192145,0.16091734365570454,0.14422173601455912,0.1700165332614677
asw_batch,0.8917919266551776,0.8986565323330883,0.8956541279674352,0.8943417933992354
bio_score,0.5,0.6690239750945745,0.6020971230781117,0.18897816566642794
batch_score,0.0,0.9558132350556008,0.6560500308239205,0.6857256529870953
overall_score,0.3,0.783739679078985,0.6236782861764352,0.38767716059469487
