,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.2902875200737404,0.17020871177419336,0.07410672076876759,0.28425498560894835,0.18593370174679735,0.08856585137128244,0.2825824147787953,0.1911892387368442,0.08947847788675409,0.9627930719129375,0.32850651495936567,0.12268773210405866,0.2985124390754575,0.28476369908393145,0.17953170025272613,0.27131939639238123,0.2899431018637921,0.15301958476811808,0.9622010406502336,0.25953494653681974,0.10854687616529847,0.3156331336413834,0.2863352150598126,0.08647903105801912,0.2857807116222237,0.27690705394580994,0.09587905719464383
asw_cell,0.6619487702846527,0.6146014109253883,0.5025534210726619,0.61428651958704,0.6070093363523483,0.5197770092636347,0.6016504243016243,0.6013796925544739,0.5083250366151333,0.6337413340806961,0.6736223250627518,0.7900185883045197,0.6148568466305733,0.6493598818778992,0.7170290946960449,0.5904789641499519,0.612090177834034,0.7059014290571213,0.6474774926900864,0.607819214463234,0.7696342468261719,0.6074916124343872,0.6401842683553696,0.6770053058862686,0.5937351956963539,0.5951285362243652,0.6970304697751999
kbet,0.002861230329041488,0.0,0.0,0.005722460658082976,0.0,0.0,0.006528793181177136,0.0,0.0,0.013772893944614645,0.010105331092478995,0.0,0.00715307582260372,0.00357653791130186,0.0,0.008583690987124463,0.000715307582260372,0.0007173601147776184,0.010027198096055142,0.0,0.00367782551472188,0.0196774044843652,0.004291845493562232,0.0,0.009298998569384835,0.007868383404864092,0.0
asw_batch,0.850533014840402,0.8083219952677988,0.6102971926581524,0.8730983050601407,0.8473164550454333,0.6782583933348227,0.8703089230705958,0.8446127727855632,0.6343415150985776,0.8340148335639997,0.8521163776386784,0.7491707335262252,0.8609163484974924,0.8493191633950107,0.7339920617822688,0.8556311633154755,0.8554466277280328,0.73613047750653,0.8498066778019746,0.8381595844114418,0.7546914823472725,0.8564285228581103,0.8481923878256283,0.7770974883911108,0.8653696730087268,0.8395956062293977,0.819617151838727
bio_score,0.3988723064950773,0.2489593716345614,0.0,0.31257731765976093,0.24460148653806835,0.038092810607419494,0.2896578014037302,0.23776652861828068,0.018687392525915898,0.7281805379610103,0.4406796851160126,0.5273330468464739,0.32159095631294665,0.3738680771706222,0.4323614350592829,0.2638899291102661,0.3119574246240714,0.3980901643490192,0.7517393106510146,0.287420276577465,0.4839216782219078,0.31841288678245194,0.3587927340217387,0.310392355892436,0.27768997041757765,0.2751208949354477,0.3505116676219406
batch_score,0.5297711907417106,0.37675792312998624,0.0,0.6454068970994064,0.45094798157613813,0.1293015848668001,0.6605886689141096,0.4458040112269289,0.04574623414007148,0.7756078314418593,0.7168552162349833,0.26421794717453045,0.6585814809670012,0.5456376040448131,0.23533931799898378,0.6848777204425104,0.4845921433114807,0.2576358405365596,0.7104754806231133,0.43352630753850147,0.3681746245468269,0.9682844146859397,0.5616696861215617,0.3173508175220654,0.7215818711481272,0.6361929366732206,0.39824785608287794
overall_score,0.4512318601937306,0.3000787922327314,0.0,0.4457091494356191,0.32714008455329624,0.07457632031117174,0.438030148407882,0.32098152166174,0.029510929171578132,0.7471514553533499,0.5511498975636009,0.4220870069776965,0.4563871661745685,0.44257588792029856,0.3535525882351632,0.43228504564316383,0.38101131209903516,0.3419084348240354,0.7352337786398541,0.3458626889618796,0.4376228567518754,0.5783614979438471,0.43994351486166794,0.31317574054428776,0.4552467307097975,0.4195497116305569,0.36960614300631556
