,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.19128935076224804,0.20683412787588265,0.16302233943725955,0.03089760078495768
asw_cell,0.5506220559279124,0.5524203379948934,0.5570419753591219,0.5544276622434458
kbet,0.10141014609427552,0.26890868003091273,0.28322920331461193,0.21636538582713682
asw_batch,0.9049661702667691,0.919405680230479,0.9105737089049205,0.9017775323402074
bio_score,0.455822769237678,0.6400548781219098,0.8754897883826565,0.29639050429768304
batch_score,0.09044166030401206,0.9606187505791954,0.7494923635615582,0.3161253872127206
overall_score,0.3096703256642116,0.768280427104824,0.8250908184542172,0.30428445746369803
