,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.19824854293409402,0.23196671895954712,0.2282769723324965,0.5942792695743175,0.2331833484219786,0.22730878397309276,0.21533330864263694,0.23178488512861506,0.22821993060015464,0.48071517413170617,0.21260670759561232,0.23089682471235323,0.4968115093897099,0.2215832953315467,0.2292061439402659,0.5896255704249144,0.22589778144558098,0.2292061439402659,0.41090881328116213,0.1151971025190942,0.10666750746776243,0.6516286524189245,0.20365432892467059,0.11538963394411807,0.7200252551669836,0.2103713776447095,0.1484736114003914
asw_cell,0.6308594197034836,0.6239133775234222,0.5898818224668503,0.5964330732822418,0.5965448841452599,0.5968969985842705,0.5648467019200325,0.5805966183543205,0.5927122607827187,0.5817088112235069,0.5773962885141373,0.657100573182106,0.5389822833240032,0.5491598844528198,0.6530721485614777,0.519472686573863,0.5493726283311844,0.6494304090738297,0.5595163404941559,0.5415962338447571,0.6796819269657135,0.5175442788749933,0.5562836155295372,0.6602791249752045,0.5156866163015366,0.5525266602635384,0.6626559942960739
kbet,0.14100482923779925,0.027122641509433963,0.07547169811320754,0.1250533769446817,0.024764150943396228,0.045990566037735846,0.11762792857834635,0.018867924528301886,0.06721698113207547,0.2024224328440997,0.12557063805809174,0.1214622641509434,0.12208903054261791,0.11966175525405225,0.1509433962264151,0.13417808309634705,0.06461251639827785,0.08608490566037735,0.15599604680442689,0.14196891590875074,0.18054118719129417,0.2657219864587644,0.11291094744627088,0.2358490566037736,0.19773626726771676,0.1042149076853996,0.21933962264150944
asw_batch,0.8954587104434224,0.8628874405767646,0.8513617999406297,0.9276224053419275,0.891082403754915,0.8667793990807089,0.9378251054758334,0.9056878785352371,0.8677675855066334,0.8865447199326983,0.8824302244164597,0.8337108972182123,0.9152736205631999,0.9139493854870295,0.8581216577997965,0.9316490735491332,0.9197602538222464,0.8580374509270858,0.8785147743080866,0.8684923303829707,0.8524325706962089,0.9158984793926619,0.883600945042156,0.8462301036841395,0.9089483605172287,0.8836725387579117,0.8777584347310292
bio_score,0.4258021173402845,0.43211110330191427,0.3253455695883416,0.6436790278276849,0.34965996680185246,0.34594466064985674,0.2384653203132051,0.29989580869015553,0.33392870188789875,0.5062109607767181,0.2745046649806252,0.5324223093789491,0.389064921523154,0.19573318479734902,0.5187619583024816,0.40524336778632064,0.19989891684190214,0.5076587765319205,0.3816439601263517,0.08594819260396347,0.5,0.44990788670785503,0.20283707469484824,0.4479535705543722,0.5,0.19685825223453957,0.4821698908169288
batch_score,0.5439257050946488,0.15683780382206683,0.1994172996664808,0.6660797494831046,0.28746472172541354,0.2137453766366387,0.7000372270112061,0.3456635867552503,0.2614849156107855,0.6255176261179881,0.45009568998925886,0.20780362863046953,0.6007714682079102,0.5894955196200687,0.38474800326995073,0.7038994804050683,0.5059001551735816,0.25297349657275064,0.4929183676296737,0.41637460879181376,0.4173766037042512,0.8946991652238467,0.43007592589694355,0.49961520057158043,0.72361751088457,0.41280602259200416,0.617587776533621
overall_score,0.47305155244203023,0.3220017835099753,0.27497426161959726,0.6526393164898527,0.3247818687712769,0.29306494704456953,0.4230940829924055,0.3182029199161934,0.30495118737705346,0.5539336269132261,0.3447410749840787,0.4025748370795572,0.47374754019705645,0.35323811872643696,0.46515637628946926,0.5247058128338198,0.3222994121745739,0.4057846645482525,0.4261537231276805,0.2181187590791036,0.4669506414817005,0.6278243981142517,0.2937326151756864,0.4686182225612555,0.589447004353828,0.2832373603775254,0.5363370451036057
