,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.19302723381451026,0.14938446238435618,0.16268731568470673,0.07130762081372899
asw_cell,0.5397708918899298,0.5493311118334532,0.5511715039610863,0.5408557585130135
kbet,0.03913937504076179,0.10058783460220107,0.07811341955726983,0.10411747343565525
asw_batch,0.9023048572608809,0.9107139683241922,0.9134020424524998,0.9117110337436666
bio_score,0.5,0.7400095418713273,0.8753696410059701,0.04757931487855907
batch_score,0.0,0.8517246471374301,0.7999013935407115,0.9238091155714719
overall_score,0.3,0.7846955839777684,0.8451823420198668,0.39807123515572423
