,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.21894646562948522,0.13402286413084555,0.033193672533159996,0.21082256388187612,0.10211049803741666,0.04492942843582275,0.2107614163551074,0.08609665631306955,0.03689162387982499,0.21210489420396483,0.15590868059540167,0.061162042718623744,0.1573545515113254,0.19896798636998692,0.07031204477564595,0.16570974889066326,0.16784426191044347,0.05687172610462935,0.2094977834801794,0.2147525064660699,0.06114806453533716,0.2137820062052979,0.2148842095707666,0.04798154036558907,0.12802452074805357,0.22700383474355174,0.06346965789558691
asw_cell,0.5476797446608543,0.5353219658136368,0.5130856027826667,0.5204438306391239,0.5293990448117256,0.5200471617281437,0.5124058146029711,0.5220915228128433,0.5220098346471786,0.5362614877521992,0.5465911254286766,0.5308201722800732,0.5229135900735855,0.5322310514748096,0.5331308506429195,0.5091631608083844,0.5206906870007515,0.5257991049438715,0.5432282499969006,0.5521681904792786,0.5269629862159491,0.5181424040347338,0.528350131586194,0.5128023996949196,0.5125060994178057,0.5299254339188337,0.522037785500288
kbet,0.008049398650323149,0.0,0.0,0.010156191203956997,0.0005903187721369539,0.0,0.01661227624247655,0.0012260466805921351,0.0,0.016283795364705287,0.005682132800776869,0.00081736445372809,0.015334829664567723,0.006602297049138343,0.0003178639542275906,0.02741617687688566,0.010422655260867896,0.0003178639542275906,0.0340239446556858,0.026499486437853156,0.0007719553174098629,0.06435229701793646,0.03557783989216963,0.0017255471800926346,0.052172663882987455,0.028379233309895866,0.0005903187721369539
asw_batch,0.8553561318637577,0.7948691675917875,0.7548701885347194,0.9190413192345337,0.8707565969755137,0.7907760601350309,0.9509087703568728,0.9055742926289274,0.8054921499717642,0.8849374125251617,0.8730036530592725,0.761918941279466,0.9365567449664236,0.925574493623115,0.7765724964215344,0.9515925385486852,0.9451293136095684,0.7881378788549134,0.8910270364253974,0.88382938993567,0.7848572376851601,0.9350732350643753,0.9300662191389084,0.767288792524303,0.9373910655901623,0.9313942140239674,0.797925000344414
bio_score,0.9270281175749817,0.5642601698760503,0.04560445608687695,0.5894100824473519,0.4130681214845805,0.15681976898203948,0.4957979598891688,0.28679365848917926,0.15890259546427477,0.7766230290712464,0.7517435782148473,0.3239502967119775,0.4801857213774557,0.6958717982097149,0.37442108602569973,0.34187081535396907,0.4814028515522918,0.2545042732599714,0.8508964787851306,0.9683934832473275,0.2790684800001188,0.5702873375590078,0.691811474836136,0.08046217538024442,0.28351563551458264,0.7413935447706625,0.22779475113787756
batch_score,0.3179420818974366,0.10166353506408511,0.0,0.49617695547205726,0.2991296842146173,0.0912602751994433,0.6273350064884099,0.39256362795526195,0.12866347274077147,0.45710648266618303,0.3444029439819633,0.024266186776489396,0.5809317189881856,0.4851692198422844,0.05762945858015283,0.7130163035924276,0.5645539450166882,0.08702465041412075,0.6104203727093638,0.533663439186084,0.08221456560711152,0.9580136586332537,0.7217177853735295,0.044970821597494395,0.8692723139961942,0.6691618553140543,0.11401702003098707
overall_score,0.6833937033039637,0.37922151595126424,0.02736267365212617,0.552116831657234,0.3674927465765952,0.130595971469001,0.5484127785288653,0.32910164627561234,0.14680694637487346,0.648816410509221,0.5888073245216936,0.20407665273778228,0.5204841204217476,0.6115907668627427,0.24770443504748096,0.4903290106493525,0.5146632889380504,0.18751242412163113,0.7547060363548239,0.7945014656228302,0.20032691424291588,0.7253778659887062,0.7037739990510934,0.0662656338671444,0.5178183069072273,0.7125008689880192,0.18228365869512136
