,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.29378699583152046,0.1890027163356365,0.1656918503518226,0.3144601612301838,0.1687020741452293,0.13136276544907466,0.3116033704401321,0.15999831623923286,0.16669173162198636,0.9839085773391012,0.28888748132791564,0.18492245189303844,0.9819199240832193,0.18233395428919702,0.16487281083570784,0.9748348564241118,0.18111233196536453,0.16372301123693178,0.9586021848556117,0.294199744101716,0.1276472236247869,0.9748348564241118,0.33846081809497125,0.11381273543479745,0.9758941317262572,0.31803231337580357,0.11514602557210116
asw_cell,0.682135209441185,0.6450184881687164,0.6341164410114288,0.6358837336301804,0.6234849244356155,0.5673532485961914,0.6284023225307465,0.6211410909891129,0.5800150409340858,0.6425275355577469,0.6418872475624084,0.7430207431316376,0.5920265093445778,0.6363591104745865,0.7091283649206161,0.5769965201616287,0.6156025379896164,0.5946084931492805,0.613960325717926,0.6740237921476364,0.720224604010582,0.5812943503260612,0.6440618932247162,0.6984543949365616,0.58344866335392,0.6323289126157761,0.7048143446445465
kbet,0.001430615164520744,0.0,0.0,0.001430615164520744,0.0,0.0,0.002861230329041488,0.0,0.0,0.03489380553791052,0.022174535050071532,0.0007163323782234957,0.026739455366135128,0.004291845493562232,0.0,0.030315993277436986,0.004291845493562232,0.0,0.06726469662129485,0.014520564594584303,0.002881844380403458,0.05581977530512888,0.005007153075822604,0.0007163323782234957,0.04150073171551151,0.003667562852135648,0.0
asw_batch,0.8366721248874966,0.82622224367111,0.7717294171328646,0.8915265060480042,0.8280234834799973,0.7228178494476953,0.9088535374694215,0.8673133982656369,0.7344963338478767,0.8614358681647212,0.8570477985042653,0.7677420497980516,0.8945170400342685,0.8869439338522176,0.7382234886255846,0.9007672320104783,0.9071600528128203,0.7645551456225135,0.8693583587824221,0.8596046180752879,0.7793824779877718,0.8863001854387764,0.8728652835338209,0.7688341904694724,0.8826894446066376,0.8846805208177779,0.76764728249672
bio_score,0.4301244234021737,0.26426538766271174,0.21983946542719293,0.3103592978056511,0.19130894753518252,0.01008511313872445,0.28742340622906093,0.17963611755746065,0.06642596746701776,0.7139675503437741,0.3127516942519889,0.5408631515251293,0.5690843881469012,0.2357861190311866,0.43287422350756277,0.5222333049525476,0.17600496466934845,0.10625713877928544,0.6181147878903119,0.40727419222381567,0.4430656388146205,0.5344661604839541,0.34742864379923705,0.3731514093915554,0.5412066642005978,0.30229399397800627,0.39201982202314894
batch_score,0.31663538744097297,0.2779154777317203,0.13145748594070053,0.4640651138118115,0.2827565913590072,0.0,0.5212684400046463,0.38835438069567235,0.03138775286712059,0.6319344145030561,0.5255943862492553,0.1260655404030132,0.6602313440188242,0.4730171745117207,0.04140506410815686,0.7036152622374017,0.52735115519999,0.11217550949133975,0.8938505318334753,0.47557182863459396,0.17344795445721878,0.8543105799688819,0.4404957104518867,0.1290008392239934,0.738168119440348,0.46229340556776066,0.12048611082565307
overall_score,0.38472880901769335,0.26972542369031516,0.18448667363259597,0.3718416242081153,0.2278880050647124,0.00605106788323467,0.3809614197392951,0.26312342281274537,0.05241068162705889,0.681154296007487,0.3978887710508955,0.3749441070762829,0.6055431704956704,0.33067854122340024,0.2762865597478004,0.5947860878664892,0.3165434408816051,0.10862448706410717,0.7284090854675773,0.43459324678812694,0.3352185650716598,0.6624039282779253,0.3846554704602969,0.2754911813245306,0.6199912462964978,0.366293758613908,0.28340633754415057
