,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.11535265210854573,0.2263342754491475,0.047541314133858786,0.12292442144201189,0.13201374187104478,0.06342427241446265,0.13476837128330824,0.1459537270469435,0.13577439283880122,0.09548657806307229,0.06598250462821718,0.1210976538325019,0.571374163435923,0.3055071941851695,0.12252877903497973,0.28470535354084164,0.12708232928048088,0.14025785527956594,0.2757373141316859,0.19929933763434216,0.057983735906531046,0.5346717758109326,0.18319028436324553,0.12278370245120668,0.18453983432533752,0.1513747301046089,0.12264308335352113
asw_cell,0.5967269092798233,0.5859223529696465,0.5670183151960373,0.5823937878012657,0.5811198726296425,0.5813662931323051,0.5522771179676056,0.5896647125482559,0.5772364065051079,0.5799926221370697,0.5760483518242836,0.6225322857499123,0.5363321900367737,0.5698337554931641,0.6577903628349304,0.5408061891794205,0.5740119591355324,0.6465895920991898,0.5850546434521675,0.5477580577135086,0.63435298204422,0.5605303719639778,0.5775263607501984,0.6325280666351318,0.56215700507164,0.5751363709568977,0.6807517856359482
kbet,0.20898779703994577,0.04245283018867924,0.14066193853427897,0.20463620035393865,0.055424528301886794,0.12028301886792453,0.21045373704646106,0.03537735849056604,0.08490566037735849,0.3218338117081503,0.18237801442168006,0.12174940898345153,0.22910650296269558,0.10324641879220631,0.21933962264150944,0.19345510613757824,0.0661290819605737,0.17139479905437352,0.30396519162873414,0.1416090342404846,0.21577657401456254,0.19467507197633366,0.10469695102087533,0.2606132075471698,0.29282922019035207,0.10254646545576207,0.25943396226415094
asw_batch,0.8833096374122683,0.8647519580045799,0.7933187059417914,0.9071925154893783,0.8832576244644346,0.8130705329885479,0.9108392898061095,0.901496719522862,0.8564855888825791,0.8891979046835767,0.8904368505171725,0.8044568601494778,0.9076280318785641,0.9006016446841518,0.790600138935246,0.9145262751953167,0.8943828949574137,0.8335599090369549,0.8757886976571418,0.8739408924248153,0.7529638619187353,0.8848882413980678,0.8762911854253794,0.7795500265284233,0.8879890431097688,0.8686892032508009,0.8364207166682422
bio_score,0.2738207363225331,0.34234620086352685,0.10623947890157023,0.23142482451639793,0.23569014258231707,0.171074432456478,0.13846196135381963,0.27857928082545297,0.22583461470759947,0.19692216465227227,0.1551048469513724,0.36864603007156493,0.5,0.3622161041566757,0.49208023265657314,0.24186336005306988,0.20637454535523858,0.4702241184378434,0.3864974203586953,0.18441136670831731,0.3493284444044685,0.5487448124344374,0.27209708351371603,0.40486210185188776,0.22017446324982762,0.23345457806359693,0.5716848602753009
batch_score,0.7064225159360019,0.3583094725591152,0.30865998782132525,0.7727391867525486,0.43822208268501417,0.33421682037836664,0.7941794606521083,0.4596764018059412,0.40682685690336073,0.9216142851605593,0.6820331961112812,0.3101189387246017,0.8167990950754136,0.5753694801010022,0.4375758458157061,0.7759193341106909,0.4913367731413275,0.4868407902785721,0.8489266810015668,0.5598209789039396,0.3148806973934191,0.6863255717670247,0.5026658305484129,0.47541982672799055,0.8672465970956009,0.4753857746121186,0.6493637244826533
overall_score,0.44686144816792067,0.3487315095417622,0.18720768246947225,0.4479505694108582,0.31670291862339595,0.23633138762523345,0.4007489610731351,0.3510181292176483,0.298231511585904,0.48679901285558713,0.3658761866153359,0.34523519353277965,0.6267196380301654,0.44747745453440635,0.4702784779202263,0.4554857496761183,0.32035943646967413,0.47687078717413484,0.5714691246158439,0.3345752115865662,0.33554934560004873,0.6037771161674723,0.3643245823275948,0.43308519180232885,0.47900331678813696,0.3302270566830056,0.6027564059582418
