,trial_1,trial_2,trial_3
ari,0.10067018579504337,0.03372488224396711,0.07952779440217651
asw_cell,0.5472152084112167,0.5515061728656292,0.5238458942621946
kbet,0.12125866557684739,0.10340530681439772,0.08768844791572064
asw_batch,0.9089217744888076,0.8922731981183358,0.9339381286238564
