,adver_all,general_scvi_all,No_adver_all,adver_lung,general_scvi_lung,No_adver_lung,adver_pancreas,general_scvi_pancreas,No_adver_pancreas
ari,0.1453475002525424,0.2189464656294852,0.1900561501209067,0.571374163435923,0.5942792695743175,0.2013499295253162,0.9627930719129376,0.9839085773391012,0.2863897476227782
asw_cell,0.5480664670467377,0.5476797446608543,0.5445214658975601,0.5363321900367737,0.5964330732822418,0.6352857500314713,0.6337413340806961,0.6425275355577469,0.5779668167233467
kbet,0.0804760142202361,0.0080493986503231,0.0609855101380525,0.2291065029626955,0.1250533769446817,0.2113716003838738,0.0137728939446146,0.0348938055379105,0.013590844062947
asw_batch,0.8970486179434456,0.8553561318637577,0.8836339369346554,0.907628031878564,0.9276224053419276,0.8821052446212392,0.8340148335639997,0.8614358681647212,0.8401694681506677
bio_score,0.5,0.9454552523949038,0.3037315106223675,0.47085340313917745,0.8036822689789465,0.5,0.9168178136052004,1.0,0.0
batch_score,1.0,0.0,0.7045700531475725,0.7803644477512874,0.5,0.4147795781947415,0.004272877315239853,1.0,0.11222469677541015
overall_score,0.7,0.5672731514369422,0.4640669276324495,0.5946578209840214,0.6822093613873679,0.4659118312778966,0.5517998390892161,1.0,0.04488987871016406
