,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.3588418184993127,0.25385672544339255,0.1742303132207872,0.046040831782919844
asw_cell,0.6095558057228724,0.5928393378853798,0.5868635152777036,0.5429403673236569
kbet,0.010972493173286925,0.13246806560041544,0.2841760092769479,0.35102151021510214
asw_batch,0.8564868678646803,0.8544947188165427,0.8475763015728196,0.879896667940931
bio_score,1.0,0.7067155600373043,0.5345827550640421,0.0
batch_score,0.13784754464683663,0.28567296121064606,0.40171196270516735,1.0
overall_score,0.6551390178587346,0.5382985205066411,0.4814344381204922,0.4
