,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.0968089116343575,0.04812686642128296,0.026018007561813723,0.1203518224382838,0.025080854002848284,0.01868227599046663,0.11052388583248593,0.04514835985216323,0.025718389784191123,0.14534750025254245,0.15715328051928065,0.0872374769490875,0.21218115683694355,0.13639759178019406,0.03862664331642191,0.1415850144994988,0.1298825621684115,0.024410981504118863,0.20823414053267406,0.14104241073074567,0.05810701382798082,0.21569005193771065,0.15391165956908034,0.06805304930135439,0.21451557179971872,0.2065856416471739,0.04897661511438307
asw_cell,0.5204044356942177,0.5155418859794736,0.5218603052198887,0.515162892639637,0.5189869906753302,0.5229020360857248,0.5105638420209289,0.5150347258895636,0.5165802799165249,0.5480664670467377,0.5471470765769482,0.4968244694173336,0.5219541043043137,0.5255860909819603,0.5039015836082399,0.5181047469377518,0.5284512285143137,0.4997450328373816,0.5501602403819561,0.5558607168495655,0.49229513946920633,0.5171262044459581,0.5376354642212391,0.4899410577490926,0.5202469993382692,0.542037021368742,0.4951414274983108
kbet,0.005816363289398729,0.0005449096358187268,0.0,0.009411672739869967,0.0007719553174098629,0.0,0.005411674903200327,0.0005449096358187268,0.0,0.0804760142202361,0.050237003241625736,0.0010444101353192263,0.04766717478581885,0.015070362527989647,0.001407683225865044,0.05172656020113647,0.015147722389633023,0.0,0.08393961013375498,0.1265952845305696,0.04867772048049398,0.10577194013249483,0.09396105081775344,0.04687333654976182,0.07491065965642237,0.07358181318119685,0.0033188607918962307
asw_batch,0.8496701974867329,0.8032223193452934,0.7037722754935971,0.9189149877504368,0.8636119318404771,0.7206865175923932,0.9448446481248942,0.876889401259047,0.7265903664113,0.8970486179434456,0.8866797004100123,0.829847361145448,0.9255139297128686,0.917734557781162,0.7357533480781671,0.9410511081315408,0.9422562601706022,0.7096887243642946,0.8913258240703277,0.8988738410334978,0.8073768888628701,0.9250340495961136,0.9161854608464929,0.8135245389301288,0.9243073521311548,0.9112110155163198,0.7998312316172056
bio_score,0.42934756465489843,0.26891155687724966,0.2607250677920722,0.4493417316611297,0.23655253529684744,0.25000871353410703,0.3895149585833674,0.2575053893601108,0.21991570387131704,0.7623533395349922,0.7853424980123322,0.22620171759183302,0.7339131861918162,0.5691252894184684,0.1565086821958684,0.5255448924022567,0.5743223754153242,0.08890234750334595,0.9378390530264047,0.8105464597830021,0.1179145247962721,0.7061990843689794,0.7049698673284326,0.12530158536510907,0.7268894881474295,0.8720406703282102,0.11633090684569963
batch_score,0.32557418709047586,0.20841812179077773,0.0,0.4833924622269723,0.33456689921528776,0.03508125363802103,0.5213739197445918,0.3612085081583232,0.04732622545803197,0.7187154791995067,0.5777778383765773,0.26561303872405917,0.6481728116059513,0.5032937009175857,0.07189063123777721,0.696430869394399,0.5544588689842098,0.012271105158421277,0.720525825567303,0.9046535142338656,0.4071400429320452,0.8766677520985117,0.811666975659563,0.4127640903346792,0.753270999629103,0.7208599294474594,0.2123407635579199
overall_score,0.3878382136291294,0.2447141828426609,0.15643504067524333,0.46296202388746677,0.27575828086422355,0.16403772957567261,0.44225854304785717,0.29898663687939575,0.15087991250600302,0.744898195400798,0.7023166341580303,0.2419662460447235,0.6996170363574703,0.5427926540181154,0.1226614618126319,0.5938992831991137,0.5663769728428785,0.058249850565376085,0.850913762042764,0.8481892815633476,0.23360473205058135,0.7743865514607923,0.7476487106608848,0.24028658735293712,0.7374420927400989,0.8115683739759099,0.15473484953058775
