,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.9695563939430812,0.7299297797503789,0.9157417622410057,0.6741027179974499
asw_cell,0.61367899676164,0.629314494629701,0.5907708456118902,0.575049415230751
kbet,0.05953942682154711,0.09621673993419434,0.20519878297717406,0.14504353503204706
asw_batch,0.8734228967704579,0.8465857021088633,0.8794225259427616,0.8592280194490775
bio_score,0.855934073613798,0.5944768440843534,0.5537865278232043,0.0
batch_score,0.40864480068699416,0.12590098597394617,1.0,0.4860092266469573
overall_score,0.6770183644430765,0.4070465008401905,0.7322719166939226,0.19440369065878293
