,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.32008218791347537,0.13788800839900534,0.029840366758324983,0.014760177390583334
asw_cell,0.5667876731604338,0.5787604873379072,0.5750522141655287,0.5379612470666567
kbet,0.15733193782888266,0.1474802745265993,0.13791624418021253,0.05482967802146523
asw_batch,0.8863165727285615,0.8930171785835279,0.8582428710596283,0.8976049795122892
bio_score,0.853271603859862,0.701636021585136,0.4792501786394564,0.0
batch_score,0.856608204851325,0.8936672956510066,0.40529138730624775,0.5
overall_score,0.8546062442564473,0.7784485312114843,0.44966666210617295,0.2
