,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.11126199591672459,0.17470955409635933,0.1296677329243859,0.023447572838075765
asw_cell,0.5743383473406235,0.5671081244945526,0.5620959624648094,0.5353423751269778
kbet,0.23537597418987533,0.20739127284969436,0.24292357117712618,0.05552963135790947
asw_batch,0.8727767378282962,0.8809539508165368,0.8563237016692171,0.8661885805179431
bio_score,0.7902726195576651,0.9072952610790295,0.6941433481063165,0.0
batch_score,0.8138622868744853,0.9051935767994668,0.5,0.20025942063601718
overall_score,0.7997084864843932,0.9064545873672044,0.6164860088637899,0.08010376825440688
