,"VAE layers of 1, num latents of 5, lr of 0.001","VAE layers of 1, num latents of 5, lr of 0.0001","VAE layers of 1, num latents of 5, lr of 1e-05","VAE layers of 1, num latents of 10, lr of 0.001","VAE layers of 1, num latents of 10, lr of 0.0001","VAE layers of 1, num latents of 10, lr of 1e-05","VAE layers of 1, num latents of 15, lr of 0.001","VAE layers of 1, num latents of 15, lr of 0.0001","VAE layers of 1, num latents of 15, lr of 1e-05","VAE layers of 3, num latents of 5, lr of 0.001","VAE layers of 3, num latents of 5, lr of 0.0001","VAE layers of 3, num latents of 5, lr of 1e-05","VAE layers of 3, num latents of 10, lr of 0.001","VAE layers of 3, num latents of 10, lr of 0.0001","VAE layers of 3, num latents of 10, lr of 1e-05","VAE layers of 3, num latents of 15, lr of 0.001","VAE layers of 3, num latents of 15, lr of 0.0001","VAE layers of 3, num latents of 15, lr of 1e-05","VAE layers of 5, num latents of 5, lr of 0.001","VAE layers of 5, num latents of 5, lr of 0.0001","VAE layers of 5, num latents of 5, lr of 1e-05","VAE layers of 5, num latents of 10, lr of 0.001","VAE layers of 5, num latents of 10, lr of 0.0001","VAE layers of 5, num latents of 10, lr of 1e-05","VAE layers of 5, num latents of 15, lr of 0.001","VAE layers of 5, num latents of 15, lr of 0.0001","VAE layers of 5, num latents of 15, lr of 1e-05"
ari,0.1846437055803783,0.09083316513281904,0.08266174498585803,0.2831605514296549,0.16907353735073022,0.016505270004031812,0.1945780506670185,0.1384022439439662,0.08001732002104008,0.22026916416762884,0.21950406540860712,0.0829576730007858,0.29267151115110673,0.28638974762277825,0.08920666567959236,0.2174059413640478,0.2892396899370529,0.13893456782015104,0.2581902252165145,0.26142477280641957,0.09264335482922503,0.3158716638474291,0.2837244861878187,0.0742340563323014,0.27012320725308,0.27791793387791935,0.07911888001523873
asw_cell,0.6615476608276367,0.5764952749013901,0.5035413696896285,0.6136600151658058,0.5770575180649757,0.5103239165619016,0.6158861890435219,0.581905908882618,0.5187253784388304,0.6231448128819466,0.6281072348356247,0.6374517679214478,0.6032671853899956,0.5779668167233467,0.626793771982193,0.5869299843907356,0.5890524610877037,0.6489337086677551,0.6254737377166748,0.6428133100271225,0.7754537761211395,0.5951898470520973,0.6368905752897263,0.604524128139019,0.6050220653414726,0.5860058292746544,0.7703227698802948
kbet,0.001430615164520744,0.0,0.0,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0035816618911174787,0.0035816618911174787,0.0,0.006437768240343348,0.013590844062947067,0.0,0.002861230329041488,0.002145922746781116,0.0,0.007868383404864092,0.00331635503321043,0.002152080344332855,0.010820638674739367,0.005007153075822604,0.0,0.010014306151645207,0.00715307582260372,0.0
asw_batch,0.8392956495977906,0.7918117283037223,0.6521987687870945,0.8694139012309747,0.8108743615599616,0.6185145772415195,0.8750398444105709,0.8236905133192025,0.6389610866348587,0.8515733615041774,0.8299034331393955,0.7955501982701747,0.8718654574313468,0.8401694681506677,0.7787192686826103,0.8638155574460079,0.8475248967331637,0.7644395482569308,0.8546253630364189,0.8345299725649891,0.7695801468581719,0.8650519418844002,0.8247004465220256,0.7972251939730846,0.8598017811643656,0.8509364853120411,0.758545921905951
bio_score,0.571370138850452,0.25829166000803927,0.11049415756471581,0.6478552806643906,0.39000214022671953,0.012471933445930256,0.5039988556704853,0.34769047955380367,0.13399822671559294,0.5602553600165638,0.5681025343070345,0.3572265324195442,0.6446298091696295,0.5876150317828119,0.34806534782630194,0.48888040090305696,0.6127595760495674,0.47183212269011116,0.6278733853209989,0.665160189517483,0.6271653839425646,0.6685257369555757,0.6915141530950282,0.28210815061839184,0.6101966853303837,0.5882478150585313,0.5951418500335479
batch_score,0.4829616489493524,0.3377779369936278,0.06565472461505507,0.6469290662052851,0.37493340605640235,0.0,0.5,0.3999136972781536,0.039852817656096426,0.5860283301386195,0.5437909150802009,0.34506468501597515,0.7306548259080755,0.9320332522314002,0.3122590870074314,0.5833856113114482,0.5253172757969315,0.28442611643251126,0.7496832931908792,0.5430481224729035,0.37361969265529976,0.87861792391501,0.5860927103905235,0.34832946224707345,0.838720151401909,0.7161774172101477,0.2729386976374343
overall_score,0.5360067428900122,0.2900861708022747,0.0925583843848515,0.6474847948807484,0.3839746465585927,0.007483160067558153,0.5023993134022912,0.36857976664354364,0.09634006309179433,0.5705645480653861,0.5583778866163011,0.3523617934581166,0.679039815865008,0.7253823199622472,0.3337428434987537,0.5266824850664135,0.5777826559485131,0.3968697201870712,0.676597348468951,0.6163153626996511,0.5257471074276586,0.7525626117393495,0.6493455760132263,0.30859667526986445,0.7016060717589938,0.6394196559191778,0.4662605890751024
