,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.27214230903880393,0.3377008598606528,0.15818910519443527,0.07310523576244543
asw_cell,0.6148793871204058,0.5842257626354694,0.5820334702730179,0.5368373695140084
kbet,0.005615079562554705,0.08284543822774298,0.2668297762106038,0.27956873686383926
asw_batch,0.8504172925241923,0.8585686305395738,0.8558741433169574,0.8593718220493733
bio_score,0.8761155800567659,0.8036082009082786,0.45034355679072047,0.0
batch_score,0.0,0.5961068150588802,0.7814475834549972,1.0
overall_score,0.5256693480340595,0.7206076465685192,0.5827851674564312,0.4
