,0_batches_removed,1_batches_removed,2_batches_removed,3_batches_removed
ari,0.2724385975446062,0.07860193377234,0.041990655315462894,0.0128840306273419
asw_cell,0.5442714722206196,0.5412292854549984,0.5477333385497332,0.5110846189782023
kbet,0.17267661715634053,0.13836472292004479,0.1143952976234333,0.0459636024265049
asw_batch,0.9129378327223581,0.9029376578806917,0.8685645291788789,0.9148569821082321
bio_score,0.9527696141967968,0.5378624043561446,0.5560703381832596,0.0
batch_score,0.9792714658175187,0.7358684638118198,0.27002630843734315,0.5
overall_score,0.9633703548450856,0.6170648281384148,0.441652726284893,0.2
