,trial_1,trial_2,trial_3
ari,0.20785894991458698,0.20204085283182244,0.19373568195187033
asw_cell,0.5485574156045914,0.5563136748969555,0.5433977134525776
kbet,0.08051291564388637,0.07446854981523703,0.046179614746640944
asw_batch,0.8878474483626655,0.9006473946042695,0.8868809369985977
